label,pattern,attr,replace
myrsidea,Myrsidea mariquensis,lower,
myrsidea,Myrsidea markhafneri,lower,
myrsidea,Myrsidea marksi,lower,
myrsidea,Myrsidea masoni,lower,
myrsidea,Myrsidea mayermae,lower,
myrsidea,Myrsidea mcclurei,lower,
myrsidea,Myrsidea mccrackeni,lower,
myrsidea,Myrsidea mcleannani,lower,
myrsidea,Myrsidea meinertzhageni,lower,
myrsidea,Myrsidea melancholici,lower,
myrsidea,Myrsidea melanocyanei,lower,
myrsidea,Myrsidea melanopis,lower,
myrsidea,Myrsidea melanorum,lower,
myrsidea,Myrsidea mellori,lower,
myrsidea,Myrsidea mendesi,lower,
myrsidea,Myrsidea mexicana,lower,
myrsidea,Myrsidea meyi,lower,
myrsidea,Myrsidea milleri,lower,
myrsidea,Myrsidea minuscula,lower,
myrsidea,Myrsidea mirabile,lower,
myrsidea,Myrsidea mirabilis,lower,
myrsidea,Myrsidea mitrospingi,lower,
myrsidea,Myrsidea monilegeri,lower,
myrsidea,Myrsidea montana,lower,
myrsidea,Myrsidea moriona,lower,
myrsidea,Myrsidea moylei,lower,
myrsidea,Myrsidea myiobori,lower,
myrsidea,Myrsidea neocinereae,lower,
myrsidea,Myrsidea nesomimi borealis,lower,
myrsidea,Myrsidea nesomimi nesomimi,lower,
myrsidea,Myrsidea nigra,lower,
myrsidea,Myrsidea novabritannica,lower,
myrsidea,Myrsidea novaeseelandiae,lower,
myrsidea,Myrsidea nuristaniensis,lower,
myrsidea,Myrsidea oatleyi,lower,
myrsidea,Myrsidea obovata,lower,
myrsidea,Myrsidea obsoleti,lower,
myrsidea,Myrsidea ochracei,lower,
myrsidea,Myrsidea ochrolaemi,lower,
myrsidea,Myrsidea oleaginei,lower,
myrsidea,Myrsidea olivacei,lower,
myrsidea,Myrsidea ophthalmici,lower,
myrsidea,Myrsidea orientalis,lower,
myrsidea,Myrsidea ovatula,lower,
myrsidea,Myrsidea pachycephalae,lower,
myrsidea,Myrsidea pachyramphi,lower,
myrsidea,Myrsidea pagei,lower,
myrsidea,Myrsidea paleno,lower,
myrsidea,Myrsidea palloris,lower,
myrsidea,Myrsidea palmai,lower,
myrsidea,Myrsidea palmeri,lower,
myrsidea,Myrsidea patersoni,lower,
myrsidea,Myrsidea patkaiensis,lower,
myrsidea,Myrsidea pectinata,lower,
myrsidea,Myrsidea peninsularis,lower,
myrsidea,Myrsidea peruviana,lower,
myrsidea,Myrsidea philippinensis,lower,
myrsidea,Myrsidea phillipsi,lower,
myrsidea,Myrsidea philydori,lower,
myrsidea,Myrsidea phoenicii,lower,
myrsidea,Myrsidea piageti,lower,
myrsidea,Myrsidea picae,lower,
myrsidea,Myrsidea picta,lower,
myrsidea,Myrsidea pilosa,lower,
myrsidea,Myrsidea pitangi,lower,
myrsidea,Myrsidea pittendrighi,lower,
myrsidea,Myrsidea plumosi,lower,
myrsidea,Myrsidea poliogasteri,lower,
myrsidea,Myrsidea povedai,lower,
myrsidea,Myrsidea pricei,lower,
myrsidea,Myrsidea prionopsis,lower,
myrsidea,Myrsidea proterva,lower,
myrsidea,Myrsidea pseudofallax,lower,
myrsidea,Myrsidea psittaci,lower,
myrsidea,Myrsidea ptilorhynchi,lower,
myrsidea,Myrsidea ptilostomi,lower,
myrsidea,Myrsidea pullula,lower,
myrsidea,Myrsidea pungens,lower,
myrsidea,Myrsidea pycnonoti,lower,
myrsidea,Myrsidea pyriglenae,lower,
myrsidea,Myrsidea quadrifasciata,lower,
myrsidea,Myrsidea quadrimaculata,lower,
myrsidea,Myrsidea queleae,lower,
myrsidea,Myrsidea quinchoi,lower,
myrsidea,Myrsidea ramoni,lower,
myrsidea,Myrsidea ramphoceli,lower,
myrsidea,Myrsidea regius,lower,
myrsidea,Myrsidea rekasii,lower,
myrsidea,Myrsidea ridulosa,lower,
myrsidea,Myrsidea robsoni,lower,
myrsidea,Myrsidea rodriguesae,lower,
myrsidea,Myrsidea rohi,lower,
myrsidea,Myrsidea roubalovae,lower,
myrsidea,Myrsidea rozsai,lower,
myrsidea,Myrsidea rubica,lower,
myrsidea,Myrsidea rufi,lower,
myrsidea,Myrsidea rustica,lower,
myrsidea,Myrsidea salimalii,lower,
myrsidea,Myrsidea satbhai,lower,
myrsidea,Myrsidea saturata,lower,
myrsidea,Myrsidea saviti,lower,
myrsidea,Myrsidea sayacae,lower,
myrsidea,Myrsidea schizotergum,lower,
myrsidea,Myrsidea scleruri,lower,
myrsidea,Myrsidea seguyi,lower,
myrsidea,Myrsidea sehri,lower,
myrsidea,Myrsidea seminuda,lower,
myrsidea,Myrsidea serini,lower,
myrsidea,Myrsidea seversoni,lower,
myrsidea,Myrsidea shirakii,lower,
myrsidea,Myrsidea siamensis,lower,
myrsidea,Myrsidea sikkimensis,lower,
myrsidea,Myrsidea similis,lower,
myrsidea,Myrsidea simplex,lower,
myrsidea,Myrsidea sinaloae,lower,
myrsidea,Myrsidea sindianus,lower,
myrsidea,Myrsidea singularis,lower,
myrsidea,Myrsidea sjoestedti,lower,
myrsidea,Myrsidea somaliensis,lower,
myrsidea,Myrsidea souleyetii,lower,
myrsidea,Myrsidea spadicei,lower,
myrsidea,Myrsidea spellmani,lower,
myrsidea,Myrsidea spizae,lower,
myrsidea,Myrsidea splendenticola,lower,
myrsidea,Myrsidea srivastava,lower,
myrsidea,Myrsidea stenodesma,lower,
myrsidea,Myrsidea strangeri,lower,
myrsidea,Myrsidea strobilisternata,lower,
myrsidea,Myrsidea struthidea,lower,
myrsidea,Myrsidea subanaspila,lower,
myrsidea,Myrsidea subcoracis,lower,
myrsidea,Myrsidea subdissimilis,lower,
myrsidea,Myrsidea sultanpurensis,lower,
myrsidea,Myrsidea surinami,lower,
myrsidea,Myrsidea suthorae,lower,
myrsidea,Myrsidea suttoni,lower,
myrsidea,Myrsidea sychrai,lower,
myrsidea,Myrsidea sylviae,lower,
myrsidea,Myrsidea taciturni,lower,
myrsidea,Myrsidea takayamai,lower,
myrsidea,Myrsidea tangarae,lower,
myrsidea,Myrsidea tapanti,lower,
myrsidea,Myrsidea tapetapersi,lower,
myrsidea,Myrsidea tchagrae,lower,
myrsidea,Myrsidea teraokai,lower,
myrsidea,Myrsidea textoris,lower,
myrsidea,Myrsidea thailandensis,lower,
myrsidea,Myrsidea thoracica,lower,
myrsidea,Myrsidea tibetana,lower,
myrsidea,Myrsidea timmermanni,lower,
myrsidea,Myrsidea trinoton,lower,
myrsidea,Myrsidea tristicola,lower,
myrsidea,Myrsidea trithorax,lower,
myrsidea,Myrsidea troglodyti,lower,
myrsidea,Myrsidea tropicalis,lower,
myrsidea,Myrsidea ugandanus,lower,
myrsidea,Myrsidea urocissae,lower,
myrsidea,Myrsidea valimi,lower,
myrsidea,Myrsidea varia,lower,
myrsidea,Myrsidea venustae,lower,
myrsidea,Myrsidea victoriae,lower,
myrsidea,Myrsidea victrix,lower,
myrsidea,Myrsidea viduae,lower,
myrsidea,Myrsidea vincesmithi,lower,
myrsidea,Myrsidea vincula,lower,
